categories,creation_date,description,project
,2019-03-06 15:54,It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all – \\\\\\\&quot;Sabka Saath Sabka Vikas\\\\\\\&quot;.,Aspirational Districts_Sonebhadra
Geographic Information Systems,2019-03-05 18:01,"It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all – ""Sabka Saath Sabka Vikas"".",Aspirational Districts_Sukma
Geographic Information Systems,2019-03-05 18:04,"It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all – ""Sabka Saath Sabka Vikas"".",Aspirational Districts_Udalguri
Geographic Information Systems,2019-03-05 18:15,"It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all – \""Sabka Saath Sabka Vikas\"".",Aspirational Districts_UdhamSingNagar
Geographic Information Systems,2019-03-05 18:16,"It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all – ""Sabka Saath Sabka Vikas"".",Aspirational Districts_Vidisha
Geographic Information Systems,2019-03-05 18:23,"It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all – ""Sabka Saath Sabka Vikas"".",Aspirational Districts_Virudhunagar
Geographic Information Systems,2019-03-05 18:28,"It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all – ""Sabka Saath Sabka Vikas"".",Aspirational Districts_Visakhapatnam
Geographic Information Systems,2019-03-05 18:32,"It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all – ""Sabka Saath Sabka Vikas"".",Aspirational Districts_Vizianagaram
Geographic Information Systems,2019-03-07 14:36,"It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all – ""Sabka Saath Sabka Vikas"".",Aspirational Districts_Washim
Geographic Information Systems,2019-03-07 14:40,"It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all – ""Sabka Saath Sabka Vikas"".",Aspirational Districts_Wayanad
Geographic Information Systems,2019-03-07 14:43,"It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all – ""Sabka Saath Sabka Vikas"".",Aspirational Districts_WestSikkim
Geographic Information Systems,2019-03-27 13:48,It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all – \&quot;Sabka Saath Sabka Vikas\&quot;.,Aspirational Districts_Westsinghbhum
Geographic Information Systems,2019-03-26 11:58,It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all – \&quot;Sabka Saath Sabka Vikas\&quot;.,Aspirational Districts_Yadgir
Geographic Information Systems,2019-03-13 17:06,"It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all –""Sabka Saath Sabka Vikas""",Aspirational District_ysr Kadapa
Geographic Information Systems,2019-03-05 14:19,"It aims to quickly and effectively transform this district by raising the living standard of its citizens and ensuring inclusive growth for all – ""Sabka Saath Sabka Vikas"".",AspirationalDistricts_Narayanpur
,2019-09-03 12:37,Basically on food safety,Assam Food Safety
,2019-09-03 12:31,First project creation demo Assam,AssamProjectDemo
Geographic Information Systems,2019-04-02 15:56,Assam web portal (GIS based planning Management System),Assam_GIS
Geographic Information Systems,2019-12-20 10:40,To do GIS mapping of AYUSH facilities,AYUSH GIS
Geographic Information Systems,2019-11-15 12:13,An online web portal for data collection and related activities of P&amp;E division of AYUSH Ministry,AYUSH Information System
,2019-10-16 16:48,Ayush_MIS,Ayush_MIS
Geographic Information Systems,2018-05-07 19:40,New,Bank Odisha System
,2017-06-01 19:45,Billing software for Invoice generation and Accounting for small and medium traders and businessmen,Bharat Billing
,2018-04-11 21:27,bid plus,bidplus-Spv
,2018-07-26 05:06,Online Shopping,Big Stocks
,2017-10-24 15:33,To provide the users the feature to on and off the auto mobile ignition along with application of break pressure so that the bike cannot move once the bike is secured through anti theft security feature that our application is providing the users.,Bike secure security -Anti-theft
,2019-09-09 11:28,BIS Bureau of Indian Standards,BIS
,2019-09-09 11:32,BIS Bureau of Indian Standards,BISNew
,2017-11-19 23:19,An android app which contains list of willing blood donors,Blood Bank
,2017-11-25 10:52,Donating blood is a life saving measure especially when you have a rare blood type. Blood donation is safe and simple. It takes only about 10 minutes to donate blood - less than the time of an average telephone call. We can save up to 3 to 4 precious lives by donating blood.,Blood Bank Tracer
,2017-11-25 10:38,Provide users with easy and efficient way to find blood banks in vicinity.,Blood Bank Tracker
