categories,creation_date,description,project
,2020-01-29 12:44,dsfds df df dfd dsf ds,Test for Developers
,2020-03-25 16:16,testing openforge stuff,testfforopenforge
,2020-01-29 12:36,for testing of git commands,testforGit
,2020-02-24 01:16,testProd,testProd
,2019-08-28 16:03,ELCOT Testing,TestProject1
,2021-03-19 17:44,TestNewBisag,Test_New_Bisag
,2021-01-10 17:00,A grammar checking website,Text Formatting
,2017-10-06 22:29,Our project basically is used to give sanitation rating on the posts of Insanitary areas Posted by people.,The Techielites
,2021-05-18 11:04,Training Management System,TMS
,2019-08-28 15:44,GIS Application,TNeGA-GIS
,2017-03-09 11:54,Project aims training on desktop application development using javascript framework.,Training
,2021-05-06 12:49,training,training
,2019-10-16 16:00,TRPRO,Training_Project
,2017-10-18 16:26,The main challenge is to make transport locking much safer and secure as per new generation with face detection.,Transport Security Locking System
,2019-09-24 11:08,Travels,Travels
Geographic Information Systems,2019-02-04 16:33,Mapping of schools across the state of Tripura,"Tripura, School Information System"
Geographic Information Systems,2019-04-02 15:37,SWAN stands for State wide area network.,"Tripura, SWAN (Information Technology)"
,2019-10-15 16:19,UDH,UDH
,2018-02-25 19:16,all,udyajit
,2020-03-06 18:06,Umang home page,Umang New
,2018-12-21 17:23,Ecourt service for govt,Umang-Ecourt
,2019-11-07 16:10,Code repository for Umang Frontend.,UMANG-Frontend
,2020-02-06 10:56,UMANG-Kaios-Daffodils,UMANG-Kaios-Daffodils
,2018-12-18 11:56,Appium Testing Framework,UmangQA
,2019-07-07 12:12,"To provide a cross-language library for transliteration from English to Indic languages, vice versa, as well as from one Indic language to another.",Universal Indic Transliteration
,2019-08-28 15:42,Pre Examination Monitoring System for BDU,University Suite
,2019-03-31 15:46,Social Innovation and Enterprenuership,Uolve
Geographic Information Systems,2019-01-30 15:57,UP Ayush Department,UP Ayush Department
Geographic Information Systems,2019-02-01 11:15,State Agricultural Produce Markets Board U.P.,UP Mandi State Agricultural Produce
Geographic Information Systems,2019-02-27 14:12,Minor Irrigation,UP Minor Irrigation
Geographic Information Systems,2019-01-30 14:45,UP Niyojan Department,UP Niyojan Department
Geographic Information Systems,2019-02-01 11:09,UP School Information System,UP School Information System
Geographic Information Systems,2019-02-27 14:17,UP Village Profile,UP Village Profile
,2019-02-01 14:53,UP Vocational Education&amp;Skill Development,UP Vocational Education
Geographic Information Systems,2019-02-03 16:25,"आईसीडीएस विवरण विभाग,उत्तर प्रदेश",UP_ICDS
Geographic Information Systems,2019-02-27 12:31,UP_Investor Support System,UP_Investor Support System
Geographic Information Systems,2019-02-03 16:33,Public Works Department,UP_Public Works Department
Geographic Information Systems,2019-03-27 17:30,To promote use of science and technology for the growth of State with the help of GIS.,UP_Science and Technology Department
Geographic Information Systems,2019-03-28 16:38,To promote sugarcane mills &amp; industry and its development across the state of Uttar Pradesh.,UP_SugarIndustry and Sugarcane Dev. Dept
,2020-07-09 17:57,Urbanportal,Urbanportal_Glis_2020_old
,2017-05-04 19:01,to short the important long urls to small easy to share urls,Url Shortner
,2017-11-14 22:17,An emergency drone supported mobile network connecting technique during catastrophic by connecting network with the energy received from wind and free energy aiding people who are struck inside the rubble of an earthquake.,Usher
Geographic Information Systems,2019-03-12 11:22,"Agricultural Produce Market Committee (APMC) is a statutory market committee constituted by a State Government of uttar pradesh in respect of trade in certain notified agricultural or horticultural or livestock products, under the Agricultural Produce Market Committee Act issued by that state government.",Uttar Pradesh_APMC
Geographic Information Systems,2019-03-12 12:36,Mapping of assets is done with the use of GIS based technology.,Uttar Pradesh_Asset Mapping
Geographic Information Systems,2019-04-02 14:14,UP - Awas,Uttar Pradesh_Awas
Geographic Information Systems,2019-04-02 12:39,"AYUSH stands for Ayurveda, Yoga and Naturopathy, Unani, Siddha and Homoeopathy (AYUSH)",Uttar Pradesh_Ayush
Geographic Information Systems,2019-04-02 15:12,Uttar Pradesh - Bhoomi aur Jal,Uttar Pradesh_Bhoomi aur Jal
Geographic Information Systems,2019-03-11 14:54,"Mapping of Electricity producing units and transmission, distribution &amp; supply of electricity with the use of GIS.",Uttar Pradesh_Bijli Nigam
Geographic Information Systems,2019-03-12 11:29,To promote dairy farming in uttar pradesh with the help of GIS technolgy.,Uttar Pradesh_Dairy
Geographic Information Systems,2019-04-08 15:15,"It mainly deals with the supply and distribution of foodgrains, wheat, rice, kerosene oil, coal and other petroleum products etc. in the state under the guidelines of the Government of India.",Uttar Pradesh_Food-Civil Supplies Dept.
Geographic Information Systems,2019-03-12 11:57,Uttar Pradesh_GenhuKhreed,Uttar Pradesh_GenhuKhreed
Geographic Information Systems,2019-03-11 12:15,The project aims to improve the services provided by home department of Uttar pradesh government\'s portal via implementation of GIS technology.,Uttar Pradesh_Grah (Home Department)
Geographic Information Systems,2019-03-27 17:09,To provide assistance to handloom weavers.,Uttar Pradesh_Hastkala and Vastra
Geographic Information Systems,2019-04-02 12:28,The Home Department handles all policy matters related to law &amp; order and police administration.,Uttar Pradesh_Homegaurd Vibhag
Geographic Information Systems,2019-03-11 14:25,Uttar Pradesh_JansankhiakikVivran,Uttar Pradesh_JansankhiakikVivran
Geographic Information Systems,2019-03-12 14:59,The project aims at mapping of food and civil supplies to the citizen of its state.,Uttar Pradesh_Khad and Rasad Vibhag
Geographic Information Systems,2019-03-12 14:45,This projects aims at promoting the usage of khadi and village enterprises.,Uttar Pradesh_Khadi and Gram Udyog
Geographic Information Systems,2019-04-02 14:49,Sports has always been an integral part of Uttar Pradesh’s culture and important aspect of life.,Uttar Pradesh_Khel aur Yuva Kalyan
Geographic Information Systems,2019-03-11 14:32,"The project aims at construction, improvement, strengthening and maintenance of roads and bridges with the use of GIS technology.",Uttar Pradesh_LokNirmanVibhag
Geographic Information Systems,2019-03-28 16:20,To empower women and provide government support in case of an emergency.,Uttar Pradesh_Mahila Kalyan
Geographic Information Systems,2019-03-27 16:54,The basic objective of the Fisheries Department is to ensure the increase in fish production using the available water resources for fishery development.,Uttar Pradesh_Matsya Palan Vibhag
Geographic Information Systems,2019-03-12 12:09,Uttar Pradesh_Milk Development,Uttar Pradesh_Milk Development
Geographic Information Systems,2019-03-27 17:21,"To promote micro, small and medium enterprises in the state of Uttar Pradesh and to do their mapping with the use of GIS technology.",Uttar Pradesh_MSME
Geographic Information Systems,2019-04-02 13:02,Uttar Pradesh - Mudran Tatha Lekhan,Uttar Pradesh_Mudran Tatha Lekhan
Geographic Information Systems,2019-03-11 14:17,The project aims at developing and improving the condition of cities in the state of uttar pradesh by the implementation of GIS technology.,Uttar Pradesh_Nagar Vikas
Geographic Information Systems,2019-04-02 12:50,Uttar Pradesh - Nagar Vimaan,Uttar Pradesh_Nagar Vimaan
Geographic Information Systems,2019-03-11 14:38,The project aims at helping the investors as per the policies of the government of Uttar Pradesh with the use of GIS technology.,Uttar Pradesh_NiveshakSahayataPranali
Geographic Information Systems,2019-03-11 11:57,The project aims to improve the environmental practices via implementation of GIS technology.,Uttar Pradesh_Paryavaran
Geographic Information Systems,2019-03-11 14:44,Mapping of primary schools in the state of Uttar pradesh with the use of GIS technology.,Uttar Pradesh_Primary School
Geographic Information Systems,2019-03-11 14:08,The project aims to improve the revenue related services of uttar pradesh government with the implementation of GIS technology.,Uttar Pradesh_Rajasv
Geographic Information Systems,2019-04-02 15:01,Uttar Pradesh - Sahkari,Uttar Pradesh_Sahkari
Geographic Information Systems,2019-03-11 12:02,The project aims to improve the water storage and irrigation facilities via implementation of GIS technology.,Uttar Pradesh_Sinchai aur jal sansadhan
Geographic Information Systems,2019-03-28 16:10,It aims at improving the well-being of every individual in society so they can reach their full potential.,Uttar pradesh_Social Development
Geographic Information Systems,2019-03-12 11:43,The project aims at conservation of wildlife and forest with the use of GIS technology.,Uttar Pradesh_Van evam Vanya jeev
,2021-05-05 14:14,Universal Transparent Tracking of Applications and Responses to Applications,UTTARA
Geographic Information Systems,2018-05-09 11:43,Uttarakhand,Uttarakhand
Geographic Information Systems,2019-03-11 11:47,The project aims to improve the agricultural practices via implementation of GIS technology.,UttarPradesh_Krishi
Geographic Information Systems,2019-03-12 12:55,Uttar Pradesh_Organic Khaad Prasanskaran Vibhag,UttarPradesh_OrganicKhaadPrasanskaran
,2017-11-24 21:56,Vam,VAm
,2017-11-08 16:06,"Data visualisation, infographics about universities in India",Varun Bala Krishnan
,2017-11-16 15:32,ethernet implementation,vasudha
Geographic Information Systems,2019-04-05 15:05,VD Punjab - GIS based planning management system,VD Punjab Web Portal
Health & Family welfare$Mac$R,2017-11-26 07:04,\\\&quot;Predictive Statistical Model for Mortality &amp; Nutrition\\\&quot;,VIJAY KUMAR MISHRA
,2019-10-10 15:59,Village Profile,VillageProfile
Commerce & Industry$Environment & Natural Resources$Housing & Urban Development$Linux$Mac$Windows$JavaScript$PHP$PL/SQL$Application,2017-03-10 19:38,"Web app to connect different industries with the aim of Waste Minimization through Reduce, Reuse and Recycle with emphasis on productivity improvement.
#swacchbharat",VPlan - Waste Management Web App
,2017-10-05 14:37,"Waste management is collection, transportation, and disposal of garbage, sewage and other waste products. Waste management is the process of treating solid wastes and offers variety of solutions for recycling items that don\'t belong to trash. It is about how garbage can be used as a valuable resource.",Waste Management & Treatment
Environment & Natural Resources,2017-11-08 13:40,"In today's scenario, water is polluted due to throwing things into water and other activities done by human beings. Our aim is to have uncontaminated water for drinking and other useful purposes.",Water pollution monitoring using IoT
Geographic Information Systems,2018-05-07 20:04,WaterBodiesInfoSystem,WaterBodiesInfoSystem
,2017-10-07 15:45,It will help the students to find the information of all courses provided by the different colleges.,Way to college
,2017-10-06 11:13,"This is a prototype webapp, which will provide immediate help to woman and child in danger.",WCAlert!
,2017-10-11 11:35,To provide immediate help to woman and children in danger.,WCAlert!
,2020-01-29 06:18,"Website of Department of Information Technology, Electronics &amp; Communication Haryana",website DITECH
,2017-11-09 11:12,This women defence application is used for helping the womens against crimes happens in our country.,Women defence application
,2017-06-13 13:52,Calculator in python.,Yash Gupta
,2018-03-08 08:58,for website government,Yogi Panggabean
,2019-06-19 16:54,Yojana Access is one of the First Ever Web Portal that will enhance the transparency between Indian Citiizen and Indian Government.,Yojana Access: All Schemes in one Click
